category_id,category_name
1,Beef Recipes
2,Mother’s Day Brunch
3,Chicken Breast Recipes
4,Budget Friendly Meals
5,Spaghetti Squash
6,Drinks
7,Lenten Friendly Recipes
8,Super Bowl Recipes
9,Cinco De Mayo
10,Low Carb
11,Dairy Free
12,St Patrick's Day Recipes
13,One Pan
14,Weight Watchers – WW Recipes
15,Zucchini Recipes
16,Salad Dressing
17,Seafood Recipes
18,Soup
19,High Fiber Recipes
20,Low Sodium
21,Dinner Ideas
22,Latin Recipes
23,Breakfast and Brunch
24,Thanksgiving Recipes
25,Easter Recipes
26,Gluten Free
27,Back To School
28,Baked Breads and Cakes
29,Stir Fry Recipes
30,Pressure Cooker Recipes
31,Sides
32,Grilling Recipes
33,Holiday Recipes
34,Indian Recipes
35,Zoodles
36,Guest Post
37,Spinach Recipes
38,Carrot Recipes
39,Spring Recipes
40,Blueberry Recipes
41,Low Fat Recipes
42,Instant Pot Recipes
43,Bowls
44,Egg Free Recipes
45,5 Ingredients or Less
46,Chicken Thigh Recipes
47,Mediterranean Diet Recipes
48,Healthy Snacks
49,Valentine’s Day Recipes
50,Leftovers
51,Salad
52,Gift Guide
53,St Patrick’s Day Recipes
54,Fall
55,Summer
56,Fish Recipes
57,Lunch
58,Cookies
59,Ground Turkey Recipes
60,Spiralizer Recipes
61,Avocado Obsessed
62,Asian Inspired Recipes
63,Whole30 Recipes
64,Grains and Legume Recipes
65,Kid Friendly
66,Dips and Spreads
67,Brussels Sprouts Recipes
68,Butternut Squash Recipes
69,Pork Recipes
70,Valentine's Day Recipes
71,Lamb Recipes
72,Chicken Recipes
73,Smoothies and Shakes
74,Meal Prep Recipes
75,Cabbage Recipes
76,Sandwich Recipes
77,Cocktails
78,Under 30 Minutes
79,Chickpea Recipes
80,Our Home
81,Turkey Recipes
82,Greek Inspired Recipes
83,Halloween
84,Shrimp Recipes
85,Vegan Recipes
86,Father's Day
87,Italian Inspired Recipes
88,Party Apps
89,High Protein Recipes
90,Broccoli Recipes
91,Casseroles
92,Slow Cooker Recipes
93,Freezer Meals
94,No Cook
95,Christmas
96,Cookbook
97,Sweet Potato Recipes
98,Salmon Recipes
99,Appetizers
100,Father’s Day
101,How To Make: Simple Recipes for Beginners
102,Cauliflower Recipes
103,Recipes
104,One Pot Recipes
105,Pasta Recipes
106,Ground Beef Recipes
107,Air Fryer Recipes
108,Vegetarian Meals
109,Winter
110,Tofu Recipes
111,Passover Recipes
112,Sauces
113,Keto Recipes
114,Main Ingredient
115,July 4th
116,Mother's Day Brunch
117,Pumpkin Recipes
118,Paleo
119,Skinny Dips
120,Anti Inflammatory Recipes
121,Dessert
122,Memorial Day
