recipe_id,category_id
48704,28
48704,11
48704,121
48704,26
48704,65
48704,2
48704,111
48704,103
48704,39
48704,55
48704,108
48704,14
127164,9
127164,21
127164,44
127164,59
127164,65
127164,22
127164,74
127164,13
127164,103
127164,81
127164,14
127873,44
127873,26
127873,115
127873,7
127873,41
127873,122
127873,104
127873,103
127873,51
127873,31
127873,39
127873,55
127873,108
127873,14
49576,1
49576,11
49576,21
49576,25
49576,44
49576,54
49576,26
49576,33
49576,65
49576,111
49576,103
49576,14
49576,109
127186,120
127186,11
127186,21
127186,44
127186,56
127186,26
127186,89
127186,101
127186,7
127186,10
127186,47
127186,111
127186,103
127186,39
127186,14
127355,120
127355,99
127355,95
127355,11
127355,21
127355,44
127355,89
127355,87
127355,7
127355,10
127355,74
127355,47
127355,94
127355,103
127355,51
127355,17
127355,84
127355,39
127355,55
127355,78
127355,14
127355,63
127355,109
47636,45
47636,4
47636,44
47636,26
47636,113
47636,65
47636,10
47636,103
47636,18
47636,39
47636,78
47636,108
47636,14
48094,120
48094,61
48094,21
48094,56
48094,26
48094,89
48094,113
48094,7
48094,10
48094,47
48094,118
48094,111
48094,103
48094,98
48094,55
48094,78
48094,14
48094,63
48686,120
48686,75
48686,11
48686,26
48686,89
48686,7
48686,10
48686,118
48686,103
48686,17
48686,84
48686,78
48686,14
48686,63
49518,62
49518,11
49518,21
49518,26
49518,36
49518,65
49518,7
49518,103
49518,17
49518,84
49518,29
49518,110
49518,78
49518,14
123208,72
123208,46
123208,21
123208,44
123208,89
123208,104
123208,105
123208,103
123208,14
123341,72
123341,46
123341,11
123341,21
123341,44
123341,54
123341,26
123341,36
123341,89
123341,13
123341,103
123341,14
123341,109
50168,3
50168,72
50168,21
50168,93
50168,26
50168,89
50168,87
50168,10
50168,103
50168,78
50168,14
123063,3
123063,72
123063,21
123063,44
123063,93
123063,26
123063,89
123063,87
123063,13
123063,104
123063,105
123063,103
123063,39
123063,14
77630,23
77630,26
77630,89
77630,65
77630,78
77630,108
77630,14
122792,45
122792,44
122792,26
122792,101
122792,113
122792,10
122792,94
122792,103
122792,51
122792,31
122792,78
122792,108
122792,14
47888,45
47888,120
47888,4
47888,95
47888,11
47888,25
47888,44
47888,26
47888,101
47888,113
47888,65
47888,10
47888,47
47888,118
47888,111
47888,103
47888,31
47888,39
47888,24
47888,78
47888,85
47888,108
47888,14
47888,63
123005,28
123005,95
123005,11
123005,121
123005,25
123005,26
123005,33
123005,122
123005,2
123005,111
123005,103
123005,39
123005,108
123005,14
122535,95
122535,11
122535,21
122535,25
122535,44
122535,26
122535,33
122535,10
122535,41
122535,13
122535,69
122535,103
122535,14
50188,95
50188,11
50188,21
50188,25
50188,44
50188,26
50188,33
50188,101
50188,65
50188,10
50188,69
50188,103
50188,39
50188,14
50188,109
122055,21
122055,44
122055,89
122055,87
122055,57
122055,74
122055,94
122055,103
122055,51
122055,78
122055,14
122781,28
122781,121
122781,25
122781,33
122781,2
122781,103
122781,39
122781,55
122781,108
122781,14
122687,21
122687,25
122687,44
122687,87
122687,7
122687,103
122687,31
122687,39
122687,108
122687,14
122687,15
47890,99
47890,23
47890,4
47890,11
47890,25
47890,26
47890,48
47890,101
47890,113
47890,65
47890,10
47890,57
47890,2
47890,94
47890,13
47890,88
47890,103
47890,39
47890,78
47890,108
47890,14
119427,107
119427,99
119427,11
119427,44
119427,64
119427,48
119427,19
119427,7
119427,41
119427,103
119427,39
119427,55
119427,78
119427,85
119427,108
119427,14
122223,107
122223,120
122223,11
122223,21
122223,56
122223,93
122223,26
122223,89
122223,65
122223,7
122223,57
122223,74
122223,47
122223,111
122223,103
122223,98
122223,17
122223,14
47598,23
47598,90
47598,25
47598,26
47598,113
47598,65
47598,10
47598,57
47598,2
47598,13
47598,104
47598,69
47598,103
47598,39
47598,78
47598,14
77873,99
77873,23
77873,11
77873,21
77873,54
77873,26
77873,65
77873,22
77873,7
77873,57
77873,74
77873,2
77873,13
77873,103
77873,39
77873,108
77873,14
77873,109
119408,23
119408,26
119408,13
119408,103
119408,39
119408,78
119408,108
119408,14
47918,28
47918,23
47918,64
47918,65
47918,103
47918,53
47918,108
47918,14
87873,1
87873,23
87873,11
87873,26
87873,50
87873,116
87873,13
87873,103
87873,12
87873,78
87873,14
122116,25
122116,44
122116,26
122116,19
122116,7
122116,103
122116,51
122116,39
122116,78
122116,108
122116,14
119099,62
119099,11
119099,26
119099,89
119099,7
119099,103
119099,17
119099,84
119099,39
119099,29
119099,78
119099,14
119323,4
119323,3
119323,72
119323,46
119323,11
119323,21
119323,44
119323,54
119323,93
119323,26
119323,64
119323,19
119323,89
119323,41
119323,74
119323,13
119323,104
119323,103
119323,92
119323,18
119323,39
119323,14
119323,109
49572,61
49572,4
49572,11
49572,25
49572,26
49572,113
49572,7
49572,10
49572,57
49572,94
49572,118
49572,103
49572,51
49572,76
49572,39
49572,78
49572,108
49572,14
49572,63
118681,99
118681,11
118681,25
118681,26
118681,89
118681,65
118681,10
118681,88
118681,103
118681,39
118681,14
47920,1
47920,75
47920,21
47920,44
47920,26
47920,118
47920,103
47920,92
47920,53
47920,14
119248,107
119248,28
119248,23
119248,93
119248,26
119248,89
119248,65
119248,7
119248,74
119248,103
119248,108
119248,14
48994,107
48994,56
48994,26
48994,65
48994,7
48994,103
48994,17
48994,78
48994,14
119171,68
119171,11
119171,21
119171,44
119171,7
119171,41
119171,57
119171,104
119171,103
119171,18
119171,85
119171,108
119171,14
113204,107
113204,102
113204,11
113204,21
113204,44
113204,26
113204,89
113204,7
113204,10
113204,74
113204,103
113204,110
113204,85
113204,108
113204,14
118893,3
118893,72
118893,11
118893,26
118893,89
118893,50
118893,41
118893,57
118893,94
118893,103
118893,39
118893,78
118893,14
118537,3
118537,72
118537,46
118537,21
118537,44
118537,54
118537,93
118537,89
118537,74
118537,103
118537,14
118537,109
118499,28
118499,23
118499,121
118499,26
118499,48
118499,65
118499,103
118499,49
118499,108
118499,14
118567,23
118567,4
118567,11
118567,6
118567,44
118567,26
118567,89
118567,101
118567,65
118567,94
118567,103
118567,73
118567,78
118567,85
118567,108
118567,14
118567,63
118631,3
118631,72
118631,21
118631,44
118631,26
118631,89
118631,65
118631,10
118631,13
118631,103
118631,37
118631,39
118631,14
118182,3
118182,72
118182,21
118182,44
118182,93
118182,89
118182,87
118182,105
118182,103
118182,14
49044,4
49044,3
49044,72
49044,21
49044,44
49044,26
49044,65
49044,57
49044,13
49044,103
49044,18
49044,14
118615,3
118615,72
118615,21
118615,44
118615,54
118615,93
118615,26
118615,89
118615,87
118615,104
118615,103
118615,18
118615,14
118615,109
50276,54
50276,93
50276,26
50276,87
50276,7
50276,57
50276,103
50276,18
50276,55
50276,108
50276,14
49874,45
49874,4
49874,72
49874,11
49874,21
49874,44
49874,26
49874,87
49874,103
49874,112
49874,66
49874,92
49874,14
117979,107
117979,62
117979,11
117979,21
117979,44
117979,89
117979,7
117979,57
117979,103
117979,98
117979,17
117979,78
117979,14
113519,44
113519,26
113519,48
113519,101
113519,65
113519,103
113519,78
113519,108
113519,14
118238,21
118238,44
118238,54
118238,26
118238,64
118238,19
118238,89
118238,7
118238,105
118238,103
118238,108
118238,14
118238,109
113414,28
113414,95
113414,121
113414,33
113414,103
113414,49
113414,108
113414,14
113887,11
113887,21
113887,44
113887,36
113887,89
113887,69
113887,103
113887,92
113887,14
113887,109
117811,45
117811,107
117811,21
117811,44
117811,56
117811,26
117811,89
117811,7
117811,103
117811,98
117811,17
117811,78
117811,14
117668,23
117668,4
117668,44
117668,7
117668,57
117668,2
117668,13
117668,103
117668,78
117668,108
117668,14
113901,72
113901,46
113901,11
113901,21
113901,44
113901,54
113901,26
113901,89
113901,113
113901,65
113901,22
113901,10
113901,103
113901,14
113901,109
113781,45
113781,11
113781,6
113781,44
113781,54
113781,26
113781,101
113781,41
113781,20
113781,94
113781,103
113781,78
113781,14
113781,109
114012,107
114012,72
114012,21
114012,26
114012,89
114012,65
114012,57
114012,103
114012,78
114012,14
113808,45
113808,1
113808,95
113808,11
113808,21
113808,44
113808,54
113808,26
113808,33
113808,65
113808,10
113808,103
113808,14
113808,63
113808,109
114075,23
114075,26
114075,89
114075,10
114075,74
114075,2
114075,103
114075,14
49458,21
49458,93
49458,26
49458,59
49458,87
49458,65
49458,13
49458,103
49458,18
49458,81
49458,78
49458,14
50226,99
50226,4
50226,95
50226,25
50226,64
50226,87
50226,7
50226,88
50226,103
50226,8
50226,85
50226,108
50226,14
117470,3
117470,72
117470,21
117470,44
117470,93
117470,26
117470,89
117470,87
117470,13
117470,103
117470,14
113616,1
113616,95
113616,11
113616,21
113616,44
113616,100
113616,26
113616,89
113616,33
113616,10
113616,103
113616,14
112935,95
112935,44
112935,56
112935,26
112935,89
112935,113
112935,7
112935,10
112935,103
112935,98
112935,39
112935,14
112935,109
49056,45
49056,95
49056,58
49056,11
49056,121
49056,26
49056,33
49056,65
49056,103
49056,14
113657,23
113657,91
113657,95
113657,93
113657,26
113657,89
113657,33
113657,74
113657,2
113657,103
113657,14
49586,28
49586,58
49586,11
49586,121
49586,25
49586,26
49586,111
49586,103
49586,39
49586,14
50444,45
50444,21
50444,44
50444,26
50444,10
50444,57
50444,103
50444,17
50444,78
50444,14
49946,72
49946,21
49946,54
49946,26
49946,87
49946,65
49946,105
49946,103
49946,78
49946,14
49946,109
111661,28
111661,23
111661,44
111661,48
111661,7
111661,2
111661,103
111661,31
111661,108
111661,14
112614,45
112614,95
112614,121
112614,44
112614,48
112614,101
112614,65
112614,20
112614,94
112614,103
112614,108
112614,14
112614,109
113162,45
113162,99
113162,95
113162,101
113162,88
113162,103
113162,8
113162,24
113162,78
113162,108
113162,14
113162,109
111667,99
111667,95
111667,44
111667,7
111667,88
111667,37
111667,8
111667,24
111667,108
111667,14
50080,11
50080,21
50080,44
50080,93
50080,26
50080,64
50080,19
50080,41
50080,69
50080,103
50080,31
50080,92
50080,14
50080,109
113504,45
113504,99
113504,95
113504,44
113504,33
113504,101
113504,87
113504,7
113504,10
113504,103
113504,78
113504,14
111845,21
111845,44
111845,54
111845,26
111845,89
111845,50
111845,104
111845,117
111845,103
111845,24
111845,81
111845,14
111845,109
49712,21
49712,54
49712,93
49712,65
49712,50
49712,57
49712,13
49712,103
49712,18
49712,24
49712,81
49712,78
49712,14
110160,1
110160,4
110160,95
110160,21
110160,93
110160,26
110160,89
110160,87
110160,65
110160,74
110160,105
110160,103
110160,14
49822,28
49822,4
49822,95
49822,58
49822,121
49822,48
49822,33
49822,65
49822,103
49822,78
49822,14
49956,28
49956,4
49956,58
49956,121
49956,33
49956,103
49956,108
49956,14
110727,45
110727,67
110727,4
110727,11
110727,44
110727,54
110727,26
110727,101
110727,113
110727,65
110727,10
110727,41
110727,13
110727,118
110727,103
110727,31
110727,24
110727,78
110727,85
110727,108
110727,14
110727,63
110727,109
49716,91
49716,54
49716,33
49716,103
49716,31
49716,24
49716,108
49716,14
111974,44
111974,54
111974,7
111974,41
111974,103
111974,31
111974,97
111974,24
111974,108
111974,14
111974,109
112439,4
112439,95
112439,44
112439,54
112439,26
112439,7
112439,103
112439,31
112439,97
112439,24
112439,108
112439,14
112439,109
112481,11
112481,44
112481,54
112481,10
112481,41
112481,13
112481,103
112481,31
112481,24
112481,81
112481,14
74946,95
74946,21
74946,54
74946,65
74946,103
74946,24
74946,81
74946,14
74946,109
49414,54
49414,103
49414,31
49414,97
49414,24
49414,78
49414,108
49414,14
49752,91
49752,95
49752,54
49752,26
49752,65
49752,103
49752,31
49752,97
49752,24
49752,108
49752,14
112272,11
112272,44
112272,54
112272,26
112272,10
112272,41
112272,103
112272,24
112272,81
112272,14
48328,68
48328,91
48328,72
48328,95
48328,21
48328,54
48328,93
48328,26
48328,87
48328,10
48328,103
48328,60
48328,14
48328,109
110986,67
110986,11
110986,44
110986,54
110986,7
110986,41
110986,13
110986,103
110986,31
110986,108
110986,14
111344,4
111344,21
111344,59
111344,89
111344,65
111344,22
111344,57
111344,103
111344,14
111738,11
111738,44
111738,54
111738,101
111738,10
111738,41
111738,20
111738,74
111738,104
111738,103
111738,18
111738,24
111738,81
111738,14
111738,63
112119,28
112119,23
112119,11
112119,54
112119,26
112119,101
112119,65
112119,103
112119,31
112119,55
112119,24
112119,78
112119,108
112119,14
112119,109
111201,44
111201,54
111201,26
111201,113
111201,7
111201,10
111201,41
111201,103
111201,31
111201,24
111201,78
111201,14
49760,4
49760,21
49760,44
49760,54
49760,93
49760,26
49760,59
49760,42
49760,65
49760,20
49760,57
49760,30
49760,117
49760,103
49760,92
49760,8
49760,81
49760,14
111306,3
111306,72
111306,46
111306,21
111306,44
111306,26
111306,89
111306,22
111306,74
111306,103
111306,92
111306,14
49080,4
49080,91
49080,21
49080,44
49080,54
49080,26
49080,105
49080,117
49080,103
49080,14
111051,1
111051,11
111051,21
111051,44
111051,54
111051,93
111051,26
111051,89
111051,65
111051,13
111051,103
111051,14
111051,109
109043,99
109043,54
109043,83
109043,65
109043,41
109043,88
109043,103
109043,14
111116,45
111116,107
111116,3
111116,72
111116,11
111116,21
111116,44
111116,93
111116,89
111116,101
111116,10
111116,57
111116,74
111116,111
111116,103
111116,78
111116,14
110605,67
110605,44
110605,54
110605,101
110605,7
110605,10
110605,94
110605,103
110605,51
110605,31
110605,24
110605,78
110605,108
110605,14
110605,109
110940,28
110940,121
110940,44
110940,54
110940,26
110940,83
110940,48
110940,65
110940,41
110940,20
110940,117
110940,103
110940,78
110940,14
110336,45
110336,4
110336,11
110336,44
110336,93
110336,26
110336,101
110336,42
110336,7
110336,74
110336,30
110336,103
110336,31
110336,85
110336,108
110336,14
49770,45
49770,11
49770,44
49770,54
49770,26
49770,83
49770,48
49770,113
49770,10
49770,117
49770,103
49770,85
49770,108
49770,14
110509,68
110509,72
110509,21
110509,44
110509,54
110509,26
110509,89
110509,57
110509,74
110509,103
110509,51
110509,14
110538,67
110538,44
110538,26
110538,101
110538,7
110538,13
110538,103
110538,31
110538,108
110538,14
110304,44
110304,54
110304,93
110304,26
110304,87
110304,74
110304,103
110304,18
110304,14
110304,109
110501,120
110501,11
110501,44
110501,54
110501,26
110501,101
110501,7
110501,47
110501,13
110501,111
110501,103
110501,31
110501,97
110501,24
110501,85
110501,108
110501,14
110501,63
110501,109
110039,58
110039,121
110039,54
