recipe_id,course_id
48704,28
127164,3
127164,8
127164,9
127873,25
127873,26
49576,3
127186,3
127186,8
127355,14
127355,16
127355,9
127355,11
47636,13
48094,3
48686,3
48686,16
49518,3
123208,3
123208,8
123341,3
123341,8
50168,3
123063,3
123063,8
77630,29
122792,11
122792,26
47888,26
123005,28
122535,3
122535,20
122535,8
50188,3
122055,3
122055,16
122781,28
122687,3
122687,8
122687,26
47890,14
47890,29
47890,21
47890,16
47890,2
119427,14
119427,2
122223,3
122223,16
47598,29
47598,21
47598,16
77873,14
77873,29
77873,21
77873,3
77873,16
119408,29
119408,21
119408,3
119408,16
47918,29
47918,21
47918,2
87873,29
87873,21
122116,11
122116,26
119099,3
119323,3
119323,8
119323,9
49572,16
49572,11
118681,14
47920,3
119248,29
48994,14
48994,3
48994,16
119171,3
119171,16
119171,13
113204,3
118893,16
118537,3
118537,8
118499,29
118499,28
118567,29
118631,3
118182,3
118182,8
49044,3
49044,16
49044,13
118615,3
118615,13
50276,13
49874,3
117979,22
117979,3
117979,16
117979,8
113519,2
118238,3
118238,8
113414,28
113887,3
113887,8
117811,3
117811,8
117668,29
117668,21
117668,16
113901,3
113901,8
113781,5
113781,6
114012,3
114012,16
114012,8
113808,3
113808,20
113808,8
114075,29
114075,21
49458,3
49458,13
50226,14
117470,3
117470,8
113616,3
113616,8
112935,3
112935,20
49056,28
113657,29
113657,21
49586,28
50444,3
50444,16
49946,3
111661,26
111661,2
112614,28
112614,2
113162,14
113162,24
111667,14
111667,24
50080,3
50080,26
113504,14
113504,24
113504,2
111845,3
49712,3
49712,13
110160,3
110160,8
110160,9
49822,28
49822,2
49956,28
49956,2
110727,26
49716,26
111974,26
111974,18
112439,26
112439,18
112481,26
112481,18
74946,3
49414,26
49752,26
112272,4
112272,26
112272,18
48328,3
110986,26
111344,16
111738,13
112119,29
112119,26
112119,18
111201,26
111201,18
49760,3
49760,16
111306,3
111306,8
111306,9
49080,3
111051,3
111051,8
109043,14
109043,2
111116,3
111116,16
111116,9
110605,11
110605,26
110940,28
110336,26
49770,2
110509,3
110509,16
110509,11
110538,26
110304,3
110304,13
110501,26
110039,28
109556,29
109556,9
109735,26
108781,14
49768,29
49768,21
49738,28
50062,13
109367,29
109367,21
109367,28
108534,26
109206,3
109206,16
109206,10
49116,29
49116,21
49116,2
49620,3
108607,29
108607,21
108607,2
48344,3
48344,16
48344,13
109004,29
108647,3
108647,16
49776,3
48368,3
103982,26
108160,29
108160,21
108160,9
48998,3
108062,29
108062,21
108062,28
108995,26
47690,29
47690,21
47690,16
47690,11
108966,3
108966,8
108966,26
90556,3
50194,26
108116,3
108154,29
108154,3
108154,16
107897,3
107897,16
107992,3
107992,16
107992,13
107626,3
107626,26
106155,14
106155,2
107377,3
107377,16
50456,26
107156,28
107663,3
107663,26
107428,14
107428,13
107337,3
106566,3
106566,9
106771,16
50216,14
50216,26
48056,3
101910,3
101910,16
91065,29
91065,21
106740,3
106341,28
106341,2
106225,26
49190,14
49190,16
105264,3
105264,16
105936,25
105936,26
104888,3
104888,16
48496,29
48496,21
49862,28
105450,3
105450,16
105450,9
49560,3
49560,16
105701,25
105701,8
105701,9
105701,26
105976,3
105976,16
105976,2
104664,25
104664,7
104664,26
50388,9
50388,26
105535,3
105535,16
105535,9
105077,3
105077,16
105077,9
105543,29
105543,21
105543,16
90119,11
90119,26
103580,29
103580,16
104901,25
104901,26
105342,19
50328,11
50328,26
104941,25
104941,26
47984,26
47984,2
104344,14
104344,3
104344,16
104688,3
104038,3
104729,4
49242,29
49242,21
50322,3
104681,3
104681,16
104247,28
103738,25
103738,11
103738,26
104029,3
104029,16
49034,3
50316,11
50316,26
49510,26
103828,3
103828,26
103308,29
103308,9
103754,25
103754,4
103030,23
103431,3
103723,3
103723,8
103723,26
102868,3
50012,14
50012,2
49330,14
49330,2
50472,14
50472,4
50472,2
48260,3
103201,3
103121,3
50240,3
49682,3
103268,3
103268,16
103268,9
102210,3
102210,16
102210,9
49254,16
49254,11
49254,26
102716,3
102935,29
102935,21
102935,2
50508,29
48402,14
48402,3
49348,16
47818,3
47818,16
47818,11
101440,3
93255,26
101677,29
101677,21
101677,3
101677,16
102576,26
49594,29
49594,21
47900,28
101810,3
100892,16
100892,9
100892,11
102070,29
49884,3
101380,16
101380,11
100152,14
100152,26
49790,3
49790,16
50510,3
80605,29
80605,21
50458,16
50458,11
100761,3
100761,16
49548,3
48200,3
100770,3
99891,3
99891,13
99997,29
99997,9
100194,3
47630,3
99441,3
99441,16
49062,14
100991,3
100991,16
100991,13
53916,3
100201,3
100201,13
50384,13
99435,3
99784,3
99469,3
99469,16
99469,9
99718,28
99718,2
47678,14
98448,16
98448,11
49562,3
49562,16
49028,14
99525,29
99525,21
99525,9
48774,3
50040,3
50414,3
50414,16
50414,13
50158,14
50158,3
50158,16
49488,3
99413,3
99413,16
99313,11
99313,26
48788,14
99196,3
99196,16
98568,3
98568,26
48306,14
48306,3
48306,16
98547,29
50198,3
95745,29
93800,26
50098,3
98387,3
94012,3
94012,16
94012,13
84488,3
94178,3
98410,3
98410,16
98410,13
94025,3
94025,16
94025,9
98538,3
98538,16
98538,9
98314,11
94394,3
94394,16
94394,11
97823,3
97823,16
94035,3
94035,16
49804,3
94223,14
94223,23
94307,14
49674,29
49674,21
94284,3
94365,1
94365,28
49374,3
94246,29
94246,21
94246,9
94185,14
94185,3
94185,16
93964,14
93964,3
93964,26
53382,3
94055,16
94055,26
94003,29
94003,21
93968,3
93733,14
93417,26
93845,29
93807,23
49652,14
49652,3
93493,3
93654,3
93654,16
93654,13
93459,11
93351,3
93351,26
92829,29
93359,26
93359,18
93554,3
48010,26
92678,26
93302,26
93111,3
93111,13
93310,29
92929,12
49386,26
48008,3
74965,3
74965,16
74965,9
74965,10
74965,2
92395,14
92395,2
92785,3
92901,3
92532,26
50094,3
50094,13
92102,3
92102,16
48786,29
48786,21
92821,29
92081,3
91957,3
91957,16
91957,11
91957,26
92541,3
92541,16
74705,14
74705,16
74705,10
74705,2
92299,3
91823,11
57123,14
91488,3
91762,29
91762,21
50268,29
50268,21
50268,2
92279,26
92236,3
48238,3
48238,13
91835,26
92119,8
92119,26
49112,29
49112,21
91768,3
91768,16
47754,3
47754,26
47754,13
49018,29
49018,21
74216,3
74216,16
91373,3
56804,29
49788,28
49788,2
49444,29
49444,21
48862,26
91531,3
91531,16
91531,13
91174,3
91397,29
91397,2
49476,3
91467,29
91467,21
91467,16
91203,3
91203,16
73869,3
73869,16
91249,3
91249,16
91295,14
91295,26
49696,3
49696,13
91127,29
91127,21
91127,16
49462,28
49462,2
90358,25
90358,26
49174,13
90988,14
90988,3
90988,16
49558,12
91003,26
91003,2
53935,16
53935,10
49866,16
48914,16
48914,11
90609,3
90609,16
90754,14
90754,3
90754,16
90754,10
50452,3
50452,26
90679,26
90442,29
90442,2
90616,3
90431,4
90461,29
47810,26
90205,26
48088,3
50128,3
48676,23
50120,14
50120,23
50120,11
50120,26
89552,3
48656,28
89960,3
89960,16
89773,3
89773,16
89773,26
90021,3
50370,3
49870,3
49870,16
49870,11
89240,16
89240,9
89240,11
49514,29
49514,21
49516,29
49516,28
49516,2
89680,29
89680,9
89680,2
49854,16
49854,11
89523,3
89523,16
89523,11
89637,3
89637,16
50330,26
49612,3
49612,16
49612,11
47570,3
47570,16
52593,27
52593,11
52593,26
49960,3
49960,16
49960,11
89390,16
89058,28
49954,3
49954,11
48708,3
48708,16
78541,3
78541,16
78541,9
78541,26
50410,3
89009,3
89009,16
89009,9
89009,11
48712,3
89067,16
89067,9
89421,29
89421,28
89421,2
71281,3
71281,16
49228,16
49228,11
49228,26
88788,3
88788,16
88788,11
50432,26
88927,16
88927,9
88502,3
49622,29
49622,21
49622,3
48058,14
48058,3
48058,16
88729,3
88729,16
88729,11
88516,8
88516,26
47894,26
49892,28
49892,2
88619,28
88264,29
87613,3
50104,14
50104,3
50104,16
88271,3
48630,11
50078,29
50078,21
87830,2
88524,3
87953,3
87555,3
87555,9
50274,3
